building,counts
133 E 64 ST,6
190 FRANKLIN ST,6
40 W 3 AV ST,6
114 W 8 AV ST,6
328 7 AV,6
2 PENN PLAZA,6
130 E 6 AV ST,6
1352 BRDWAY,6
325 W 30 ST,6
529 W 20 ST,6
533 W 52 ST,6
1 W 9 ST,6
692 BRDWAY,6
543 10 AV,6
590 GRAND ST,6
2 W 13 ST,6
29 W 32ND ST,6
198 BRDWAY,6
13 W 13 ST,6
254 W 3 AV ST,6
185 MADISON AV,6
941 COLUMBUS AV,6
173 W 7 AV ST,6
576 EIGHTH AV,6
517 W 28 ST,6
779 COLUMBUS AV,6
2569 7 AV,6
326 E 48 ST,6
128 W 3 AV ST,6
58 W 40 ST,6
440 9 AV,6
192 BWAY,6
521 W 20 ST,6
270 LAFAYETTE ST,6
15 W 63 ST,6
258 W 97 ST,6
613 GREENWICH ST,6
133 MORNINGSIDE AV,6
41 PARK ROW,6
1150 YORK AV,6
106 WALL ST,6
574 W END AV,6
145 W 2 AV ST,6
205 E 20 ST,6
55 W 125 ST,6
335 W 35 ST,6
1206 6 AV,6
204 2ND AV,6
1147 FIRST AV,6
34 E 32ND ST,6
