building,counts
585 N RAILRD AV,1
521 OCEAN TERRACE,1
76 DOUGLAS RD,1
669 CASTLETON AV,1
42 DUNCAN RD,1
2530 VICTORY BLVD,1
156 CLARKE AV,1
59 CANAL ST,1
751 MILL RD,1
183 SAND LANE,1
128 RICHMOND AV,1
15 MARC ST,1
181 GORDON ST,1
211 BRD ST,1
82 LYNHURST AV,1
791 MANOR RD,1
7001 AMBOY RD,1
151 NORTH ST AUSTINS PL,1
2760 VICTORY BLVD,1
2590 HYLAN BLVD,1
201 HAMILTON AV,1
285 CLOVE RD,1
34 RUPERT AV,1
1297 ARTHUR KILL RD,1
191 EDGEWATER ST,1
704 HENDERSON AV,1
145 WELLINGTON COURT,1
190 BUTLER AV,1
1200 SOUTH AV,1
398 LORETTO ST,1
35 ST JAMES AV,1
333 HILLSIDE AV,1
317 JEWETT AV,1
1250 HYLAN BLVD,1
1460 FOREST AV,1
120 CASTLETON COURT,1
498 HOLTON AV,1
190 CEBRA AV,1
2380 HYLAN BLVD,1
187 DONGAN ST,1
255 LONDON RD,1
619 JOHNSTON TERRACE,1
2245 RICHMOND AV,1
582 BAY ST,1
2955 VETERANS RD W,1
360 INDUSTRY RD,1
1428 VICTORY BLVD,1
186 FLAGG PL,1
991 TODT HILL RD,1
2485 RICHMOND AV,1
51 STUYVESANT PL,1
392 JERSEY ST,1
2375 RICHMOND AV,1
635 RICHMOND RD,1
142 MANOR RD,1
1992 HYLAN BLVD,1
386 BRITTON AV,1
141 ST MARKS PL,1
338 SHARON AV,1
8 TRINITY PL,1
102 PRALL AV,1
440 DOANE AV,1
129 COVERLY AV,1
1193 ROCKLAND AV,1
144 MC CLEAN AV,1
2047 VICTORY BLVD,1
675 FINGERBOARD RD,1
255 FLAGG PL,1
273 HEBERTON AV,1
25 LANDIS AV,1
351 SAND LANE,1
11 WARD AV,1
81 ROMER RD,1
12 LINDEN ST,1
23 PINE ST,1
384 BRITTON AV,1
103 OVERLOOK AV,1
1534 VICTORY BLVD,1
226 FILLMORE ST,1
146 HILLSIDE AV,1
346 BEACH AV,1
850 HYLAN BLVD,1
3026 VETERANS RD W,1
917 MANOR RD,1
38 MARC ST,1
3917 RICHMOND AV,1
52 BRIGHTON AV,1
133 JOHN ST,1
621 JOHNSTON TERRACE,1
1489 FOREST AV,1
614 RICHMOND RD,1
120 PIERCE ST,1
96 AMSTERDAM AV,1
402 DONGAN HILLS AV,1
56 MULBERRY CIRCLE,1
75 STUYVESANT PL,1
1 ELIZABETH COURT,1
50 BLACKHORSE COURT,1
286 RIDGEWOOD AV,1
44 MAIN ST,1
176 1/2 MORELAND ST,1
31 1/2 JACKSON ST,1
460N BRIELLE AV,1
59 HAMILTON AV,1
37 OSGOOD AV,1
268 VICTORY BLVD,1
285 ST MARKS PL,1
15 BENNETT ST,1
115 MAINE AV,1
1168 MASON AV,1
554 VALLEYVIEW PL,1
24 GIFFORDS LANE,1
201 BIDWELL AV,1
3475 VICTORY BLVD,1
27 GIFFORDS LANE,1
16 VAN BUREN ST,1
22 BOONE ST,1
105 CLARK LANE,1
439 PORT RICHMOND AV,1
115 MAPLE AV,1
200 HART BLVD,1
181 MCCLEAN AV,1
1919 HYLAN BLVD,1
2555 RICHMOND AV,1
69 CORSON AV,1
2270 CLOVE RD,1
87 SIMONSON PL,1
2025 RICHMOND AV,1
59 A NEWARK AV,1
172 ASHWORTH AV,1
4747 AMBOY RD,1
8 NAVY PIER COURT,1
55 ARBOR COURT,1
122 CASTLETON AV,1
1509 FOREST AV,1
5 A CHEROKEE ST,1
72 GOFF AV,1
328 WILSON AV,1
56 DALEMERE RD,1
231 TAYLOR ST,1
475 BRIELLE AV,1
1957 RICHMOND TERRACE,1
78 PERKIOMEN AV,1
36 DAWN COURT,1
232 BENZIGER AV,1
2131 HYLAN BLVD,1
615 A LACONIA AV,1
200 BOSCOMBE AV,1
715 OCEAN TERR,1
296 BOUNDARY AV,1
22 LAYTON AV,1
32 GARY PL,1
227 NETHERLAND AV,1
280 MARSH AV,1
61 NEW DORP PLAZA,1
168 ROMA AV,1
82 LAMBERTS LANE,1
225 ELLIS ST,1
4435 VICTORY BLVD,1
19 HARBOR VIEW COURT,1
106 DARNELL LANE,1
1657 RICHMOND RD,1
401 BLOOMINGDALE RD,1
23 OCEANIC AV,1
151 VAN PELT AV,1
430 SEAVIEW AV,1
240 PAGE AV,1
