building,counts
470 OCEAN AV,4
625 CATON AV,4
1539 ST JOHNS PL,4
279 OCEAN PKWY,4
1357 DECATUR ST,4
1501 47 ST,4
124 CHAUNCEY ST,4
606 WYTHE AV,4
1381 LINDEN BLVD,4
1100 CONEY ISLAND AV,4
2361 CONEY ISLAND AV,4
138 CORNELIA ST,4
9701 SHORE RD,4
576 EERN PARKWAY,4
485 FORBELL ST,4
449 E 56 ST,4
254 WALLABOUT ST,4
501 SURF AV,4
9 PIERREPONT ST,4
381 GROVE ST,4
45 CLERMONT AV,4
126 STEWART AV,4
3165 NOSTRAND AV,4
54 BOERUM ST,4
1569 OCEAN AV,4
101 E 21 ST,4
179 LINDEN BLVD,4
55 6 AV,4
795 KENT AV,4
351 QUINCY ST,4
295 CLINTON AV,4
705 DRIGGS AV,4
1015 WASHINGTON AV,4
859 60 ST,4
602 FLUSHING AV,4
440 KENT AV,4
144 SOUTH OXFORD ST,4
2475 W 16 ST,4
75 NORTH 4 ST,4
146 LAFAYETTE AV,4
388 AV S,4
8813 FT HAMILTON AV,4
190 WILLOUGHBY ST,4
480 CLINTON AV,4
172 NORTH 10 ST,4
120 OSBORN ST,4
182 ATLANTIC AV,4
30 MONTROSE AV,4
65 OCEANA DRIVE E,4
10 GRAHAM AV,4
1355 FULTON ST,4
363 NEPTUNE AV,4
44 KENT ST,4
172 REMSEN ST,4
46 JAY ST,4
161 MARSHALL ST,4
17 TENNIS CT,4
1165 NOSTRAND AV,4
33 EAGLE ST,4
1193 MCDONALD AV,4
1122 OCEAN AV,4
515 CLARKSON AV,4
425 CUMBERLAND ST,4
261 LENOX RD,4
1101 PARK PL,4
255 1 ST,4
1601 AV J,4
44 BUTLER PL,4
9502 KINGS HIGHWAY,4
367 MACON ST,4
720 E 91 ST,4
316 E 29 ST,4
133 BEARD ST,4
103 BEDFORD AV,4
906 BERGEN ST,4
970 KENT AV,4
575 DE GRAW ST,4
262 HEYWARD ST,4
248 WALLABOUT ST,4
21 PLAZA ST,4
2644 ATLANTIC AV,4
460 FLUSHING AV,4
88 RICHARDSON ST,4
106 FERRIS ST,4
256 GREENPOINT AV,4
159 HART ST,4
40 CLINTON ST,4
805 MANHATTAN AV,4
331 WALLABOUT ST,4
921 WASHINGTON AV,4
1126 FULTON ST,4
2 GRACE COURT,4
222 CROWN ST,4
788 STERLING PL,4
661 LINDEN BLVD,4
325 AV Y,4
160 SOUTH 2 ST,4
245 HAWTHORNE ST,4
262 65 ST,4
1141 BR BEACH AV,4
89 PORTER AV,4
352 LAFAYETTE AV,4
480 E 94 ST,4
75 DE KALB AV,4
2030 OCEAN PKWAY,4
25 WASHINGTON ST,4
77 WEIRFIELD ST,4
8501 5 AV,4
403 AV C,4
193 BEDFORD AV,4
408 MILLER AV,4
829 JEFFERSON AV,4
757 BUSHWICK AV,4
531 86 ST,4
2859 BEDFORD AV,4
757 PRESIDENT ST,4
218 SOUTH 3 ST,4
1834 CATON AV,4
257 HEGEMAN AV,4
757 BERGEN ST,4
134 OCEAN PARKWAY,4
1100 WINTHROP ST,4
123 KENT AV,4
1164 ATLANTIC AV,4
1424 43 ST,4
1846 48 ST,4
280 ELDERT ST,4
737 FOSTER AV,4
672 CROWN ST,4
647 FULTON ST,4
60 LENOX RD,4
3130 BRIGHTON 6 ST,4
349 HENRY ST,4
2101 CHURCH AV,4
704 LEFFERTS AV,4
131 OCEAN AV,4
119 2ND ST,4
340 MORGAN AV,4
2748 OCEAN AV,4
6318 9 AV,4
639 4 AV,4
102 4 AV ST,4
317 CLERMONT AV,4
627 COURT ST,4
389 CLINTON AV,4
915 E AV ST,4
163 OCEAN AV,4
531 E 22ND ST,4
119 FENIMORE ST,4
12 CROWN ST,4
768 ST MARKS AV,4
38 CLARKSON AV,4
80 NEW YORK AV,4
325 CLINTON AV,4
728 E 10 ST,4
250 NORTH 10 ST,4
1801 ALBEMARLE RD,4
2398 NOSTRAND AV,4
281 STUYVESANT AV,4
78 METROPOLITAN AV,4
8109 BAY PARKWAY,4
9720 KINGS HIGHWAY,4
1320 FULTON ST,4
370 OCEAN PKWY,4
2725 KNAPP ST,4
1062 ST JOHNS PL,4
344 VERNON AV,4
485 FULTON ST,4
60 TURNER PL,4
2801 EMMONS AV,4
5714 1 AV,4
55 MASPETH AV,4
559 FULTON ST,4
339 ELLERY ST,4
1040 CARROLL ST,4
673 EMPIRE BLVD,4
303 MONTAUK AV,4
161 WALWORTH ST,4
147 PRINCE ST,4
282 CROWN ST,4
457 SCHENECTADY AV,4
123 PULASKI ST,4
564 ST JOHNS PL,4
6121 STRICKLAND AV,4
1215 AV M,4
218 WITHERS ST,4
665 NEW YORK AV,4
495 CLASSON AV,4
787 ST MARKS AV,4
1340 LINCOLN PL,4
410 EERN PARKWAY,4
38 MASPETH AV,4
21 33 ST,4
275 NEPTUNE AV,4
405 WILLIAMS AV,4
230 WYTHE AV,4
789 JEFFERSON AV,4
1346 55 ST,4
524 MYRTLE AV,4
752 QUINCY ST,4
1133 MANHATTAN AV,4
664 FULTON ST,4
216 DUFFIELD ST,4
55 OCEANA DRIVE E,4
2100 BEEKMAN PL,4
109 BAY 14 ST,4
73 12 ST,4
270 EMPIRE BLVD,4
2845 OCEAN AV,4
6309 BAY PARKWAY,4
519 85 ST,4
528 PROSPECT PL,4
2604 FARRAGUT RD,4
209 JORALEMON ST,4
541 WYTHE AV,4
861 AV Z,4
242 WARWICK ST,4
220 ELMWOOD AV,4
150 LEFFERTS AV,4
217 JEFFERSON ST,4
286 MESEROLE ST,4
636 E 96 ST,4
872 3 AV,4
213 RALPH AV,4
1200 GRAVESEND NECK RD,4
599 BALTIC ST,4
210 96 ST,4
165 STOCKHOLM ST,4
80 58 ST,4
43 E 21 ST,4
665 5 AV,4
365 36 ST,4
1679 E 19 ST,4
1655 SHEEPSHEAD BAY RD,4
3201 AVE H,4
195 BERRY ST,4
125 TAYLOR ST,4
712 CROWN ST,4
675 LINCOLN AV,4
541 CLARKSON AV,4
5810 SNYDER AV,4
841 OCEAN PARKWAY,4
134 QUINCY ST,4
1815 EERN PARKWAY,4
33 MESEROLE ST,4
429 OCEAN PARKWAY,4
152 TILLARY ST,4
678 LEXINGTON AV,4
30 RICHARDSON ST,4
2002 8 AV ST,4
337 LAFAYETTE AV,4
9201 4 AV,4
742 MONTGOMERY ST,4
15 ALICE COURT,4
9040 FT HAMILTON PKWY,4
28 GRAND AV,4
3015 AV D,4
1397 OCEAN AV,4
520 PARKSIDE AV,4
267 7 AV,4
99 SUTTON ST,4
9201 SHORE RD,4
217 OCEAN VIEW AV,4
1608 STILLWELL AV,4
101 COURT ST,4
470 KENT AV,4
257 JEFFERSON ST,4
450 KENT AV,4
238 PALMETTO ST,4
157 CORNELIA ST,4
649 MORGAN AV,4
802 GREENE AV,4
43 MEADOW ST,4
522 OCEAN AV,4
205 PARK AV,4
630 E 104 ST,4
510 FULTON ST,4
615 AV C,4
881 WASHINGTON AV,4
385 CLASSON AV,4
175 REMSEN ST,4
6424 1 AV AV,4
175 JEWELL ST,4
201 HALSEY ST,4
912 BERGEN ST,4
1729 67 ST,4
52 NORTH 1 ST,4
151 MAUJER ST,4
527 PARKSIDE AV,4
313 CLERMONT AV,4
1701 CATON AV,4
432 1 AV ST,4
942 STERLING PL,4
1545 ST JOHNS PL,4
20 JAY ST,4
415 LEFFERTS AV,4
15 REWE ST,4
65 IRVING PL,4
506 6 ST,4
523 FULTON ST,4
409 BRDWAY,4
27 CROOKE AV,4
313 52 ST,4
289 PACIFIC ST,4
451 KINGSTON AV,4
11 BRDWAY,4
914 PARK PL,4
2301 KINGS HIGHWAY,4
60 PLAZA ST,4
147 FLATBUSH AV EXTENSION,4
98 ADELPHI ST,4
