comp_disp_inspection_by,comp_disp_date,nyc_BIN,location
1984,2016-10-12,4001293,"40.7436230,-73.9163660"
1984,2016-10-12,4001293,"40.7436230,-73.9163660"
2583,2016-10-12,4001314,"40.7437880,-73.9169690"
2583,2016-10-12,4008133,"40.7593699,-73.9282440"
2422,2016-10-12,4001520,
2658,2016-10-12,4141901,
2556,2016-10-12,4141901,
2374,2016-10-12,3079871,"40.6843250,-73.9103760"
2374,2016-10-12,3248044,"40.5835643,-73.9339391"
2374,2016-10-12,3248044,"40.5835643,-73.9339391"
2574,2016-10-12,3002928,"40.6906216,-73.9975518"
2668,2016-10-12,3074550,"40.7027130,-73.9176040"
2535,2016-10-12,3847142,"40.5759483,-73.9717315"
2668,2016-10-12,3052779,"0.0000000,0.0000000"
2559,2016-10-12,3116678,"40.6536853,-73.9516805"
2632,2016-10-12,3003098,"40.6896702,-73.9977888"
2634,2016-10-12,3003098,"40.6896702,-73.9977888"
2556,2016-10-12,3116678,"40.6536853,-73.9516805"
2682,2016-10-12,3078992,"0.0000000,0.0000000"
2556,2016-10-12,3095889,"40.6728089,-73.8660208"
2610,2016-10-12,3002556,"40.6916434,-73.9906746"
2610,2016-10-12,3002556,"40.6915500,-73.9905448"
2654,2016-10-12,3165172,"40.6068424,-73.9986227"
2670,2016-10-12,3032934,"40.6692290,-73.9491989"
2670,2016-10-12,3032934,"40.6692290,-73.9491989"
2670,2016-10-12,3095889,"40.6728089,-73.8660208"
2722,2016-10-12,3247881,"40.5851860,-73.9345010"
2722,2016-10-12,3247881,"40.5852448,-73.9344683"
2556,2016-10-12,3116678,"40.6536853,-73.9516805"
2727,2016-10-12,3061537,"40.7218812,-73.9573948"
2670,2016-10-12,3016787,"40.6627930,-73.9908030"
2556,2016-10-12,3116678,"40.6536853,-73.9516805"
2556,2016-10-12,3116678,"40.6536853,-73.9516805"
2556,2016-10-12,3032934,"40.6692290,-73.9491989"
2556,2016-10-12,3032934,"40.6692290,-73.9491989"
2668,2016-10-12,3061607,"40.7199320,-73.9558340"
2556,2016-10-12,3032934,"40.6692290,-73.9491989"
2556,2016-10-12,3032934,"40.6692290,-73.9491989"
686,2016-10-12,3065375,"0.0000000,0.0000000"
2670,2016-10-12,3038261,"40.6650470,-73.9337819"
2556,2016-10-12,3038261,"40.6650470,-73.9337819"
2722,2016-10-12,3016787,"40.6627930,-73.9908030"
2722,2016-10-12,3016787,"40.6627930,-73.9908030"
2722,2016-10-12,3016787,"40.6627930,-73.9908030"
2556,2016-10-12,3038261,"40.6650470,-73.9337819"
2556,2016-10-12,3038261,"40.6650470,-73.9337819"
2556,2016-10-12,3095889,"40.6728089,-73.8660208"
2276,2016-10-12,3034653,"40.6643780,-73.9439740"
2556,2016-10-12,3095889,"40.6728089,-73.8660208"
2559,2016-10-12,3173710,"40.6141930,-73.9702720"
2670,2016-10-12,3038309,"40.6648690,-73.9298520"
1710,2016-10-12,3327403,"40.6386650,-73.9453728"
2687,2016-10-12,3045327,"40.6874610,-73.9251500"
2556,2016-10-12,3116678,"40.6536853,-73.9516805"
2270,2016-10-12,3055648,"40.6885630,-73.9581480"
1334,2016-10-12,3145668,
1771,2016-10-12,3049974,"40.6900970,-73.9449880"
2725,2016-10-12,3052763,"40.6827812,-73.9439592"
2270,2016-10-12,3116827,"40.6516962,-73.9497376"
1847,2016-10-12,3114645,"40.6563110,-73.9609430"
2422,2016-10-12,3000369,"40.6901730,-73.9819790"
2422,2016-10-12,3396179,"40.6906357,-73.9820810"
2422,2016-10-12,3396179,
2270,2016-10-12,3049297,"40.6925050,-73.9500290"
2270,2016-10-12,3094563,"40.6752260,-73.8765690"
2633,2016-10-12,2091947,"40.9038033,-73.9056003"
2565,2016-10-12,2091947,"40.9038033,-73.9056003"
2633,2016-10-12,2086308,"40.9037800,-73.9068790"
2565,2016-10-12,2086308,"40.9037800,-73.9068790"
2282,2016-10-12,2004442,"40.8183269,-73.9097029"
2761,2016-10-12,2007615,"40.8482490,-73.9081910"
2761,2016-10-12,2013337,"40.8580832,-73.8958084"
2761,2016-10-12,2009103,"40.8531229,-73.9177110"
2761,2016-10-12,2009103,"40.8531229,-73.9177110"
