building,counts
3200 BAYCHESTER AV,4
2117 VIRGIL PL,4
1716 SOUTHERN BLVD,4
115 HENWOOD PL,4
1200 WATERS PL,4
100 ERSKINE PL,4
1398 GRAND CONCOURSE,4
2545 VALENTINE AV,4
2141 STARLING AV,4
2132 WALLACE AV,4
3182 ROCHAMBEAU AV,4
430 E 138 ST,4
2016 BRONXDALE AV,4
1072 WOODYCREST AV,4
108 E 157 ST,4
1497 NEEDHAM AV,4
323 E 198 ST,4
1025 ALDUS ST,4
1960 WILLIAMSBRIDGE RD,4
3535 KINGS COLLEGE PL,4
57 W 175 ST,4
3801 HUDSON MANOR TERR,4
694 COURTLANDT AV,4
2840 SEDGWICK AV,4
135 W 238 ST,4
305 RIDER AV,4
1740 ECHESTER RD,4
855 E 175 ST,4
305 BRUCKNER BLVD,4
1726 DAVIDSON AV,4
665 E 163 ST,4
1515 SOUTHERN BLVD,4
2280 GRAND AV,4
2485 DEVOE TERRACE,4
3660 OXFORD AV,4
2829 SEDGWICK AV,4
1180 ANDERSON AV,4
365 E 193 ST,4
2922 GRAND CONCOURSE,4
3845 CARPENTER AV,4
3424 KINGSBRIDGE AV,4
1718 GRAND AV,4
1055 UNIVERSITY AV,4
4455 DOUGLAS AV,4
2547 BAINBRIDGE AV,4
665 E 166 ST,4
519 COURTLANDT AV,4
5959 PALISADE AV,4
1731 HARRISON AV,4
1138 WASHINGTON AV,4
1016 BRYANT AV,4
150 DREISER LOOP,4
930 SOUNDVIEW AV,4
1579 RHINELANDER AV,4
360 W 230 ST,4
5535 NETHERLAND AV,4
1070 ELDER AV,4
3425 KINGSBRIDGE AV,4
636 E 235 ST,4
124 W 167 ST,4
2095 CRESTON AV,4
2348 WEBSTER AV,4
1980 WHITE PLAINS RD,4
1613 LIBRARY AV,4
840 E 134 ST,4
1954 UNIONPORT RD,4
1815 GRAND CONCOURSE,4
3409 IRWIN AV,4
267 E 202 ST,4
560 E 179 ST,4
3120 KINGSBRIDGE AV,4
3511 BARNES AV,4
1992 MORRIS AV,4
885 BOLTON AV,4
1749 GRAND CONCOURSE,4
100 ELGAR PL,4
210 E 18 AV ST,4
3131 GRAND CONCOURSE,4
1011 CARROLL PL,3
115 W 197 ST,3
1197 GRAND CONCOURSE,3
2538 HERING AV,3
707 ALLERTON AV,3
866 ELSMERE PL,3
2630 KINGSBRIDGE TERRACE,3
3840 CANNON PL,3
1000 PELHAM PARKWAY SOUTH,3
705 GERARD AV,3
2320 AQUEDUCT AV,3
2460 GRAND AV,3
5716 BRDWAY,3
2820 MORRIS AV,3
2320 CRESTON AV,3
3893 FIELDSTON RD,3
5444 ARLINGTON AV,3
74 W TREMONT AV,3
480 E 176 ST,3
3604 BRONX BLVD,3
14 MARCY PL,3
1101 MANOR AV,3
833 LONGFELLOW AV,3
2403 3 AV,3
500 WALTON AV,3
38 FEATHERBED LANE,3
2914 JEROME AV,3
2830 MORRIS AV,3
2255 GR CONCOURSE,3
3073 HEATH AV,3
1560 SELWYN AV,3
980 PROSPECT AV,3
900 VAN NEST AV,3
2012 DAVIDSON AV,3
425 DEVOE AV,3
2040 BRONXDALE AV,3
344 BEEKMAN AV,3
59 E 176 ST,3
304 E FORDHAM RD,3
490 GRAND CONCOURSE,3
3300 BAILEY AV,3
601 E 156 ST,3
1301 MORRIS PARK AV,3
799 E 139 ST,3
9 MARCY PL,3
1600 SEDGWICK AV,3
40 W MOSHOLU PA,3
1010 BRYANT AV,3
3824 PAULDING AV,3
2164 POWELL AV,3
2055 CRUGER AV,3
391 CONCORD AV,3
330 BEDFORD PARK BLVD,3
3405 PUTNAM PL,3
730 E 232 ST,3
1050 EVERGREEN AV,3
345 CYPRESS AV,3
3530 BAINBRIDGE AV,3
2235 CRUGER AV,3
1672 DAVIDSON AV,3
624 E 222 ST,3
1569 BRUCKNER BLVD,3
1975 WALTON AV,3
3636 WALDO AV,3
2299 ANDREWS AV,3
2070 SEWARD AV,3
1017 AV ST JOHN,3
71 WOODYCREST AV,3
1450 JESUP AV,3
315 E 149 ST,3
1320 ZEREGA AV,3
55 E 208 ST,3
3065 ROBERTS AV,3
125 MT HOPE PL,3
743 E 136 ST,3
735 WALTON AV,3
1023 CLARENCE AV,3
4200 HUTCHINSON RIVER PARKWAY,3
292 E 164 ST,3
821 MELROSE AV,3
4260 KATONAH AV,3
3060 E TREMONT AV,3
3130 ROCHAMBEAU AV,3
827 ADEE AV,3
310 E KINGSBRIDGE RD,3
609 E 156 ST,3
999 ALDUS ST,3
3063 ECHESTER RD,3
730 KELLY ST,3
192 HERON LANE,3
2739 3 AV,3
781 E 133 ST,3
855 E 178 ST,3
940 GR CONCOURSE,3
1340 CLAY AV,3
2856 WEBB AV,3
2675 HENRY HUDSON PKWY,3
3892 3 AV,3
1465 JESUP AV,3
1475 THERIOT AV,3
607 PROSPECT AV,3
926 SOUTHERN BLVD,3
683 TINTON AV,3
1580 PELHAM PARKWAY SOUTH,3
1143 ST LAWRENCE AV,3
2505 JEROME AV,3
1221 MANOR AV,3
3840 ORLOFF AV,3
863 WCHESTER AV,3
861 E 163 ST,3
3450 E TREMONT AV,3
1268 STRATFORD AV,3
2170 PROSPECT AV,3
633 BAKER AV,3
2425 SEDGWICK AV,3
