building,counts
2 WEST 13 STREET,6
1552 BROADWAY,6
21 WEST 20 STREET,6
300 EAST 64 ST,6
59 WALL STREET,6
55 EAST 10 ST,6
800 2ND AVE,6
25           GREAT JONES STREET,6
501 HUDSON STREET,6
500 WEST   30 STREET,6
173 W 73RD ST,6
611 BROADWAY,6
170 5TH AVE,6
327          EAST 64 STREET,6
791 AMSTERDAM AVENUE,6
34 W 27TH ST,6
681 AMSTERDAM AVE,6
41 PARK ROW,6
53 EAST 79 STREET,6
244 CANAL STREET,6
117 BROAD STREET,6
99999 ROOSEVELT ISLAND,6
245 5 AVE,6
469 10 AVENUE,6
325          WEST BROADWAY,6
441 5 AVENUE,6
741          9 AVENUE,6
141 W 45TH ST,6
196 EAST 75 ST,6
123 W 57 ST,6
40 E 62ND ST,6
461 PARK AVE,6
101 EAST 59 STREET,6
198 LEXINGTON AVE,6
693 FIFTH AVE,6
140 AMSTERDAM AVE,6
21 EAST 40TH ST,6
45 WALL STREET,6
216 W 30TH ST,6
5 EAST 14 ST,6
424 BROADWAY,6
333 WEST 34 STREET,6
16 E 20TH ST,6
55 W 125 ST,6
635 EAST 14 STREET,6
180 FORT WASHINGTON AVE,6
2 FULTON STREET,6
421 EAST 116 STREET,6
315 5TH AVE,6
34 VARICK STREET,6
333 EAST 102 STREET,6
2360 BROADWAY,6
131 E 66TH ST,6
325          WEST 30 STREET,6
533 WEST 52 STREET,6
1763 FIRST AVE,6
525 BROADWAY,6
342 1 AVENUE,6
15 E 69TH ST,6
129 FIFTH AVE,6
140 FIFTH AVE,6
142 W 24TH ST,6
163 VARICK STREET,6
3957 BROADWAY,6
131 CENTRAL PARK W,6
6 STUYVESANT OVAL,6
1153 YORK AVE,6
349 FIFTH AVE,6
47 WEST 34TH ST,6
6 PLATT STREET,6
2541 SEVENTH AVE,6
89 WEST 3 STREET,6
2 BROAD ST,6
420 PARK AVENUE SOUTH,6
2070 1 AVENUE,6
1147 FIRST AVE,6
100 W 57 ST,6
519 HUDSON STREET,6
52 EAST END AVE,6
610 FIFTH AVENUE,6
238 SOUTH END AVENUE,6
69 GREENWICH ST,6
49 W 17TH ST,6
865 WEST END AVE,6
440 9 AVENUE,6
21 WEST 73RD ST,6
521 WEST 20 STREET,6
423 FOURTH AVE,6
613 GREENWICH STREET,6
1109 PARK AVE,6
220 RIVERSIDE BOULEVARD,6
124          EAST 107 STREET,6
99 WORTH STREET,6
180 WEST 20 STREET,6
58 W 40 ST,6
29 W 32ND ST,6
310 3 AVENUE,6
529 WEST 20 STREET,6
81 TENTH AVE,6
47 JOHN ST,6
465 PARK AVE,6
405 WEST 23 STREET,6
398 PARK AVENUE SOUTH,6
35 EAST 48TH ST,6
2569 7 AVENUE,6
258          WEST 97 STREET,6
177 9 AVENUE,6
192 BWAY,6
514 WEST 28 STREET,6
26 W 61 ST,6
855 6TH AVE,6
257 W 38TH ST,6
335 BOWERY,6
60 PINE ST,6
38 E 10TH ST,6
287 GREENWICH STREET,6
80 PEARL ST,6
246 WEST END AVE,6
10 E 40TH ST,6
116 WEST 32 ST,6
60 WARREN STREET,6
426 WEST 57 STREET,6
150 WEST ST,6
460 WEST 41ST ST.,6
2 PENN PLAZA,6
543 10 AVENUE,6
162 5TH AVE,6
327 WEST 36 STREET,6
530 AMSTERDAM AVE,6
601 WEST 57 STREET,6
166 BROADWAY,6
20 WEST 33 STREET,6
